Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Continúe,Continúes,Continúe,Continuemos,Continuedes,Continúen
Engada,Engadas,Engada,Engadamos,Engadades,Engadan
Publique,Publiques,Publique,Publiquemos,Publiquedes,Publiquen
Xogue,Xogues,Xogue,Xoguemos,Xoguedes,Xoguen
Cambie,Cambies,Cambie,Cambiemos,Cambiedes,Cambien
Evite,Evites,Evite,Evitemos,Evitedes,Eviten
Axude,Axudes,Axude,Axudemos,Axudedes,Axuden
Amose,Amoses,Amose,Amosemos,Amosedes,Amosen
Esqueza,Esquezas,Esqueza,Esquezamos,Esquezades,Esquezan
Coma,Comas,Coma,Comamos,Comades,Coman
Tire,Tires,Tire,Tiremos,Tiredes,Tiren
Suba,Subas,Suba,Subamos,Subades,Suban
Gañe,Gañes,Gañe,Gañemos,Gañedes,Gañen
Destaque,Destaques,Destaque,Destaquemos,Destaquedes,Destaquen
Toque,Toques,Toque,Toquemos,Toquedes,Toquen
Mova,Movas,Mova,Movamos,Movades,Movan
Pretenda,Pretendas,Pretenda,Pretendamos,Pretendades,Pretendan
Corra,Corras,Corra,Corramos,Corrades,Corran
Fique,Fiques,Fique,Fiquemos,Fiquedes,Fiquen
Represente,Representes,Represente,Representemos,Representedes,Representen
Acompañe,Acompañes,Acompañe,Acompañemos,Acompañedes,Acompañen
Ocupe,Ocupes,Ocupe,Ocupemos,Ocupedes,Ocupen
Precise,Precises,Precise,Precisemos,Precisedes,Precisen
Erga,Ergas,Erga,Ergamos,Ergades,Ergan
Semelle,Semelles,Semelle,Semellemos,Semelledes,Semellen
Olle,Olles,Olle,Ollemos,Olledes,Ollen
Defenda,Defendas,Defenda,Defendamos,Defendades,Defendan
Refira,Refiras,Refira,Refiramos,Refirades,Refiran
Informe,Informes,Informe,Informemos,Informedes,Informen
Recorde,Recordes,Recorde,Recordemos,Recordedes,Recorden
Peche,Peches,Peche,Pechemos,Pechedes,Pechen
Estableza,Establezas,Estableza,Establezamos,Establezades,Establezan
Obta,Obtas,Obta,Obtamos,Obtades,Obtan
Descubra,Descubras,Descubra,Descubramos,Descubrades,Descubran
Anuncie,Anuncies,Anuncie,Anunciemos,Anunciedes,Anuncien
Provoque,Provoques,Provoque,Provoquemos,Provoquedes,Provoquen
Sufra,Sufras,Sufra,Suframos,Sufrades,Sufran
Tente,Tentes,Tente,Tentemos,Tentedes,Tenten
Observe,Observes,Observe,Observemos,Observedes,Observen
Empregue,Empregues,Empregue,Empreguemos,Empreguedes,Empreguen
Dedique,Dediques,Dedique,Dediquemos,Dediquedes,Dediquen
Ocorra,Ocorran
Intente,Intentes,Intente,Intentemos,Intentedes,Intenten
Mate,Mates,Mate,Matemos,Matedes,Maten
Mande,Mandes,Mande,Mandemos,Mandedes,Manden
Encontre,Encontres,Encontre,Encontremos,Encontredes,Encontren
Decate,Decates,Decate,Decatemos,Decatedes,Decaten
Durma,Durmas,Durma,Durmamos,Durmades,Durman
Acade,Acades,Acade,Academos,Acadedes,Acaden
Mostre,Mostres,Mostre,Mostremos,Mostredes,Mostren
Comprenda,Comprendas,Comprenda,Comprendamos,Comprendades,Comprendan
Prepare,Prepares,Prepare,Preparemos,Preparedes,Preparen
Logre,Logres,Logre,Logremos,Logredes,Logren
Garde,Gardes,Garde,Gardemos,Gardedes,Garden
Deta,Detas,Deta,Detamos,Detades,Detan
Necesite,Necesites,Necesite,Necesitemos,Necesitedes,Necesiten
Apunte,Apuntes,Apunte,Apuntemos,Apuntedes,Apunten
Falte,Faltes,Falte,Faltemos,Faltedes,Falten
Acepte,Aceptes,Acepte,Aceptemos,Aceptedes,Acepten
Aproveite,Aproveites,Aproveite,Aproveitemos,Aproveitedes,Aproveiten
Afecte,Afectes,Afecte,Afectemos,Afectedes,Afecten
Constitúa,Constitúas,Constitúa,Constituamos,Constituades,Constitúan
Supere,Superes,Supere,Superemos,Superedes,Superen
Coide,Coides,Coide,Coidemos,Coidedes,Coiden
Pare,Pares,Pare,Paremos,Paredes,Paren
Repita,Repitas,Repita,Repitamos,Repitades,Repitan
Actúe,Actúes,Actúe,Actuemos,Actuedes,Actúen
Reduza,Reduzas,Reduza,Reduzamos,Reduzades,Reduzan
Desapareza,Desaparezas,Desapareza,Desaparezamos,Desaparezades,Desaparezan
Aprenda,Aprendas,Aprenda,Aprendamos,Aprendades,Aprendan
Prevexa,Prevexas,Prevexa,Prevexamos,Prevexades,Prevexan
Use,Uses,Use,Usemos,Usedes,Usen
Oia,Oias,Oia,Oiamos,Oiades,Oian
Apoie,Apoies,Apoie,Apoiemos,Apoiedes,Apoien
Negue,Negues,Negue,Neguemos,Neguedes,Neguen
Relacione,Relaciones,Relacione,Relacionemos,Relacionedes,Relacionen
Suceda,Sucedan
Organice,Organices,Organice,Organicemos,Organicedes,Organicen
Marque,Marques,Marque,Marquemos,Marquedes,Marquen
Constrúa,Constrúas,Constrúa,Construamos,Construades,Constrúan
Recupere,Recuperes,Recupere,Recuperemos,Recuperedes,Recuperen
Ría,Rías,Ría,Riamos,Riades,Rían
Comente,Comentes,Comente,Comentemos,Comentedes,Comenten
Demostre,Demostres,Demostre,Demostremos,Demostredes,Demostren
Venda,Vendas,Venda,Vendamos,Vendades,Vendan
Obrigue,Obrigues,Obrigue,Obriguemos,Obriguedes,Obriguen
Aumente,Aumentes,Aumente,Aumentemos,Aumentedes,Aumenten
Abandone,Abandones,Abandone,Abandonemos,Abandonedes,Abandonen
Manifeste,Manifestes,Manifeste,Manifestemos,Manifestedes,Manifesten
Comparta,Compartas,Comparta,Compartamos,Compartades,Compartan
Fuxa,Fuxas,Fuxa,Fuxamos,Fuxades,Fuxan
Inicie,Inicies,Inicie,Iniciemos,Iniciedes,Inicien
Xurda,Xurdas,Xurda,Xurdamos,Xurdades,Xurdan
Acuda,Acudas,Acuda,Acudamos,Acudades,Acudan
Aconteza,Aconteza
Poña,Poñas,Poña,Poñamos,Poñades,Poñan
Imaxine,Imaxines,Imaxine,Imaxinemos,Imaxinedes,Imaxinen
Berre,Berres,Berre,Berremos,Berredes,Berren
Comprobe,Comprobes,Comprobe,Comprobemos,Comprobedes,Comproben
Atenda,Atendas,Atenda,Atendamos,Atendades,Atendan
Propoña,Propoñas,Propoña,Propoñamos,Propoñades,Propoñan
Analice,Analices,Analice,Analicemos,Analicedes,Analicen
Permaneza,Permanezas,Permaneza,Permanezamos,Permanezades,Permanezan
Cubra,Cubras,Cubra,Cubramos,Cubrades,Cubran
Camiñe,Camiñes,Camiñe,Camiñemos,Camiñedes,Camiñen
Insista,Insistas,Insista,Insistamos,Insistades,Insistan
Beba,Bebas,Beba,Bebamos,Bebades,Beban
Alcance,Alcances,Alcance,Alcancemos,Alcancedes,Alcancen
Encha,Enchas,Encha,Enchamos,Enchades,Enchan
Coloque,Coloques,Coloque,Coloquemos,Coloquedes,Coloquen
Procure,Procures,Procure,Procuremos,Procuredes,Procuren
Aprobe,Aprobes,Aprobe,Aprobemos,Aprobedes,Aproben
Note,Notes,Note,Notemos,Notedes,Noten
Aplique,Apliques,Aplique,Apliquemos,Apliquedes,Apliquen
Corresponda,Correspondas,Corresponda,Correspondamos,Correspondades,Correspondan
Medre,Medres,Medre,Medremos,Medredes,Medren
Acorde,Acordes,Acorde,Acordemos,Acordedes,Acorden
Valla,Vallas,Valla,Vallamos,Vallades,Vallan
Interese,Intereses,Interese,Interesemos,Interesedes,Interesen
Levante,Levantes,Levante,Levantemos,Levantedes,Levanten
Preocupe,Preocupes,Preocupe,Preocupemos,Preocupedes,Preocupen
Defina,Definas,Defina,Definamos,Definades,Definan
Importe,Importes,Importe,Importemos,Importedes,Importen
Xere,Xeres,Xere,Xeremos,Xeredes,Xeren
Confirme,Confirmes,Confirme,Confirmemos,Confirmedes,Confirmen
Visite,Visites,Visite,Visitemos,Visitedes,Visiten
Desexe,Desexes,Desexe,Desexemos,Desexedes,Desexen
Mellore,Mellores,Mellore,Melloremos,Melloredes,Melloren
Signifique,Signifiques,Signifique,Signifiquemos,Signifiquedes,Signifiquen
Entregue,Entregues,Entregue,Entreguemos,Entreguedes,Entreguen
Impida,Impidas,Impida,Impidamos,Impidades,Impidan
Denuncie,Denuncies,Denuncie,Denunciemos,Denunciedes,Denuncien
Cante,Cantes,Cante,Cantemos,Cantedes,Canten
Declare,Declares,Declare,Declaremos,Declaredes,Declaren
Exprese,Expreses,Exprese,Expresemos,Expresedes,Expresen
Esixa,Esixas,Esixa,Esixamos,Esixades,Esixan
Convenza,Convenzas,Convenza,Convenzamos,Convenzades,Convenzan
Asuma,Asumas,Asuma,Asumamos,Asumades,Asuman
Una,Unas,Una,Unamos,Unades,Unan
Dependa,Dependas,Dependa,Dependamos,Dependades,Dependan
Rexistre,Rexistres,Rexistre,Rexistremos,Rexistredes,Rexistren
Basee,Basees,Basee,Baseemos,Baseedes,Baseen
Fixe,Fixes,Fixe,Fixemos,Fixedes,Fixen
Coincida,Coincidas,Coincida,Coincidamos,Coincidades,Coincidan
Funcione,Funciones,Funcione,Funcionemos,Funcionedes,Funcionen
Elixa,Elixas,Elixa,Elixamos,Elixades,Elixan
Vista,Vistas,Vista,Vistamos,Vistades,Vistan
Chore,Chores,Chore,Choremos,Choredes,Choren
Sorra,Sorras,Sorra,Sorramos,Sorrades,Sorran
Reuna,Reunas,Reuna,Reunamos,Reunades,Reunan
Prefira,Prefiras,Prefira,Prefiramos,Prefirades,Prefiran
Advirta,Advirtas,Advirta,Advirtamos,Advirtades,Advirtan
Avance,Avances,Avance,Avancemos,Avancedes,Avancen
Conteste,Contestes,Conteste,Contestemos,Contestedes,Contesten
Cale,Cales,Cale,Calemos,Caledes,Calen
Soe,Soes,Soe,Soemos,Soedes,Soen
Merque,Merques,Merque,Merquemos,Merquedes,Merquen
Adoite,Adoites,Adoite,Adoitemos,Adoitedes,Adoiten
Solicite,Solicites,Solicite,Solicitemos,Solicitedes,Soliciten
Contemple,Contemples,Contemple,Contemplemos,Contempledes,Contemplen
Deite,Deites,Deite,Deitemos,Deitedes,Deiten
Goce,Goces,Goce,Gocemos,Gocedes,Gocen
Reclame,Reclames,Reclame,Reclamemos,Reclamedes,Reclamen
Integre,Integres,Integre,Integremos,Integredes,Integren
Cruce,Cruces,Cruce,Crucemos,Crucedes,Crucen
Percorra,Percorras,Percorra,Percorramos,Percorrades,Percorran
Asista,Asistas,Asista,Asistamos,Asistades,Asistan
Resolva,Resolvas,Resolva,Resolvamos,Resolvades,Resolvan
Destine,Destines,Destine,Destinemos,Destinedes,Destinen
Rompa,Rompas,Rompa,Rompamos,Rompades,Rompan
Elabore,Elabores,Elabore,Elaboremos,Elaboredes,Elaboren
Sume,Sumes,Sume,Sumemos,Sumedes,Sumen
Identifique,Identifiques,Identifique,Identifiquemos,Identifiquedes,Identifiquen
Garanta,Garantas,Garanta,Garantamos,Garantades,Garantan
Asine,Asines,Asine,Asinemos,Asinedes,Asinen
Conta,Contas,Conta,Contamos,Contades,Contan
Introduza,Introduzas,Introduza,Introduzamos,Introduzades,Introduzan
Facilite,Facilites,Facilite,Facilitemos,Facilitedes,Faciliten
Quite,Quites,Quite,Quitemos,Quitedes,Quiten
Deza,Dezas,Deza,Dezamos,Dezades,Dezan
Conduza,Conduzas,Conduza,Conduzamos,Conduzades,Conduzan
Envíe,Envíes,Envíe,Enviemos,Enviedes,Envíen
Acuse,Acuses,Acuse,Acusemos,Acusedes,Acusen
Parta,Partas,Parta,Partamos,Partades,Partan
Centre,Centres,Centre,Centremos,Centredes,Centren
Posúa,Posúas,Posúa,Posuamos,Posuades,Posúan
Determine,Determines,Determine,Determinemos,Determinedes,Determinen
Cause,Causes,Cause,Causemos,Causedes,Causen
Tarde,Tardes,Tarde,Tardemos,Tardedes,Tarden
Rexeite,Rexeites,Rexeite,Rexeitemos,Rexeitedes,Rexeiten
Lance,Lances,Lance,Lancemos,Lancedes,Lancen
Exerza,Exerzas,Exerza,Exerzamos,Exerzades,Exerzan
Regrese,Regreses,Regrese,Regresemos,Regresedes,Regresen
Incorpore,Incorpores,Incorpore,Incorporemos,Incorporedes,Incorporen
Encargue,Encargues,Encargue,Encarguemos,Encarguedes,Encarguen
Sorprenda,Sorprendas,Sorprenda,Sorprendamos,Sorprendades,Sorprendan
Conserve,Conserves,Conserve,Conservemos,Conservedes,Conserven
Impoña,Impoñas,Impoña,Impoñamos,Impoñades,Impoñan
Adquira,Adquiras,Adquira,Adquiramos,Adquirades,Adquiran
Corte,Cortes,Corte,Cortemos,Cortedes,Corten
Consista,Consistas,Consista,Consistamos,Consistades,Consistan
Contribúa,Contribúas,Contribúa,Contribuamos,Contribuades,Contribúan
Viaxe,Viaxes,Viaxe,Viaxemos,Viaxedes,Viaxen
Proceda,Procedas,Proceda,Procedamos,Procedades,Procedan
Conclúa,Conclúas,Conclúa,Concluamos,Concluades,Conclúan
Vire,Vires,Vire,Viremos,Viredes,Viren
Escolla,Escollas,Escolla,Escollamos,Escollades,Escollan
Controle,Controles,Controle,Controlemos,Controledes,Controlen
Loite,Loites,Loite,Loitemos,Loitedes,Loiten
Bata,Batas,Bata,Batamos,Batades,Batan
Acolla,Acollas,Acolla,Acollamos,Acollades,Acollan
Preste,Prestes,Preste,Prestemos,Prestedes,Presten
Implique,Impliques,Implique,Impliquemos,Impliquedes,Impliquen
Case,Cases,Case,Casemos,Casedes,Casen
Mude,Mudes,Mude,Mudemos,Mudedes,Muden
Pertenza,Pertenzas,Pertenza,Pertenzamos,Pertenzades,Pertenzan
Retire,Retires,Retire,Retiremos,Retiredes,Retiren
Salve,Salves,Salve,Salvemos,Salvedes,Salven
