Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Celebraba,Celebrabas,Celebraba,Celebrabamos,Celebrabades,Celebraban
Incluía,Incluías,Incluía,Incluïamos,Incluïades,Incluían
Desenvolvía,Desenvolvías,Desenvolvía,Desenvolviamos,Desenvolviades,Desenvolvían
Pagaba,Pagabas,Pagaba,Pagabamos,Pagabades,Pagaban
Baixaba,Baixabas,Baixaba,Baixabamos,Baixabades,Baixaban
Dispoñía,Dispoñías,Dispoñía,Dispoñiamos,Dispoñiades,Dispoñían
Traía,Traías,Traía,Traïamos,Traïades,Traían
Respondía,Respondías,Respondía,Respondiamos,Respondiades,Respondían
Participaba,Participabas,Participaba,Participabamos,Participabades,Participaban
Sacaba,Sacabas,Sacaba,Sacabamos,Sacabades,Sacaban
Continuaba,Continuabas,Continuaba,Continuabamos,Continuabades,Continuaban
Engadía,Engadías,Engadía,Engadiamos,Engadiades,Engadían
Publicaba,Publicabas,Publicaba,Publicabamos,Publicabades,Publicaban
Xogaba,Xogabas,Xogaba,Xogabamos,Xogabades,Xogaban
Cambiaba,Cambiabas,Cambiaba,Cambiabamos,Cambiabades,Cambiaban
Evitaba,Evitabas,Evitaba,Evitabamos,Evitabades,Evitaban
Axudaba,Axudabas,Axudaba,Axudabamos,Axudabades,Axudaban
Amosaba,Amosabas,Amosaba,Amosabamos,Amosabades,Amosaban
Esquecía,Esquecías,Esquecía,Esqueciamos,Esqueciades,Esquecían
Comía,Comías,Comía,Comiamos,Comiades,Comían
Tiraba,Tirabas,Tiraba,Tirabamos,Tirabades,Tiraban
Subía,Subías,Subía,Subiamos,Subiades,Subían
Gañaba,Gañabas,Gañaba,Gañabamos,Gañabades,Gañaban
Destacaba,Destacabas,Destacaba,Destacabamos,Destacabades,Destacaban
Tocaba,Tocabas,Tocaba,Tocabamos,Tocabades,Tocaban
Movía,Movías,Movía,Moviamos,Moviades,Movían
Pretendía,Pretendías,Pretendía,Pretendiamos,Pretendiades,Pretendían
Corría,Corrías,Corría,Corriamos,Corriades,Corrían
Ficaba,Ficabas,Ficaba,Ficabamos,Ficabades,Ficaban
Representaba,Representabas,Representaba,Representabamos,Representabades,Representaban
Acompañaba,Acompañabas,Acompañaba,Acompañabamos,Acompañabades,Acompañaban
Ocupaba,Ocupabas,Ocupaba,Ocupabamos,Ocupabades,Ocupaban
Precisaba,Precisabas,Precisaba,Precisabamos,Precisabades,Precisaban
Erguía,Erguías,Erguía,Erguiamos,Erguiades,Erguían
Semellaba,Semellabas,Semellaba,Semellabamos,Semellabades,Semellaban
Ollaba,Ollabas,Ollaba,Ollabamos,Ollabades,Ollaban
Defendía,Defendías,Defendía,Defendiamos,Defendiades,Defendían
Refería,Referías,Refería,Referiamos,Referiades,Referían
Informaba,Informabas,Informaba,Informabamos,Informabades,Informaban
Recordaba,Recordabas,Recordaba,Recordabamos,Recordabades,Recordaban
Pechaba,Pechabas,Pechaba,Pechabamos,Pechabades,Pechaban
Establecía,Establecías,Establecía,Estableciamos,Estableciades,Establecían
Obtía,Obtías,Obtía,Obtiamos,Obtiades,Obtían
Descubría,Descubrías,Descubría,Descubriamos,Descubriades,Descubrían
Anunciaba,Anunciabas,Anunciaba,Anunciabamos,Anunciabades,Anunciaban
Provocaba,Provocabas,Provocaba,Provocabamos,Provocabades,Provocaban
Sufría,Sufrías,Sufría,Sufriamos,Sufriades,Sufrían
Tentaba,Tentabas,Tentaba,Tentabamos,Tentabades,Tentaban
Observaba,Observabas,Observaba,Observabamos,Observabades,Observaban
Empregaba,Empregabas,Empregaba,Empregabamos,Empregabades,Empregaban
Dedicaba,Dedicabas,Dedicaba,Dedicabamos,Dedicabades,Dedicaban
