Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Sentarei,Sentarás,Sentará,Sentaremos,Sentaredes,Sentarán
Nacerei,Nacerás,Nacerá,Naceremos,Naceredes,Nacerán
Indicarei,Indicarás,Indicará,Indicaremos,Indicaredes,Indicarán
Utilizarei,Utilizarás,Utilizará,Utilizaremos,Utilizaredes,Utilizarán
Marcharei,Marcharás,Marchará,Marcharemos,Marcharedes,Marcharán
Celebrarei,Celebrarás,Celebrará,Celebraremos,Celebraredes,Celebrarán
Incluirei,Incluirás,Incluirá,Incluiremos,Incluiredes,Incluirán
Desenvolverei,Desenvolverás,Desenvolverá,Desenvolveremos,Desenvolveredes,Desenvolverán
Pagarei,Pagarás,Pagará,Pagaremos,Pagaredes,Pagarán
Baixarei,Baixarás,Baixará,Baixaremos,Baixaredes,Baixarán
Dispoñerei,Dispoñerás,Dispoñerá,Dispoñeremos,Dispoñeredes,Dispoñerán
Traerei,Traerás,Traerá,Traeremos,Traeredes,Traerán
Responderei,Responderás,Responderá,Responderemos,Responderedes,Responderán
Participarei,Participarás,Participará,Participaremos,Participaredes,Participarán
Sacarei,Sacarás,Sacará,Sacaremos,Sacaredes,Sacarán
Continuarei,Continuarás,Continuará,Continuaremos,Continuaredes,Continuarán
Engadirei,Engadirás,Engadirá,Engadiremos,Engadiredes,Engadirán
Publicarei,Publicarás,Publicará,Publicaremos,Publicaredes,Publicarán
Xogarei,Xogarás,Xogará,Xogaremos,Xogaredes,Xogarán
Cambiarei,Cambiarás,Cambiará,Cambiaremos,Cambiaredes,Cambiarán
Evitarei,Evitarás,Evitará,Evitaremos,Evitaredes,Evitarán
Axudarei,Axudarás,Axudará,Axudaremos,Axudaredes,Axudarán
Amosarei,Amosarás,Amosará,Amosaremos,Amosaredes,Amosarán
Esquecerei,Esquecerás,Esquecerá,Esqueceremos,Esqueceredes,Esquecerán
Comerei,Comerás,Comerá,Comeremos,Comeredes,Comerán
Tirarei,Tirarás,Tirará,Tiraremos,Tiraredes,Tirarán
Subirei,Subirás,Subirá,Subiremos,Subiredes,Subirán
Gañarei,Gañarás,Gañará,Gañaremos,Gañaredes,Gañarán
Destacarei,Destacarás,Destacará,Destacaremos,Destacaredes,Destacarán
Tocarei,Tocarás,Tocará,Tocaremos,Tocaredes,Tocarán
Moverei,Moverás,Moverá,Moveremos,Moveredes,Moverán
