Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Incluín,Incluíches,Incluíu,Incluímos,Incluístes,Incluíron
Desenvolvín,Desenvolviches,Desenvolveu,Desenvolvemos,Desenvolvestes,Desenvolveron
Paguei,Pagaches,Pagou,Pagamos,Pagastes,Pagaron
Baixei,Baixaches,Baixou,Baixamos,Baixastes,Baixaron
Dispuxen,Dispuxeches,Dispuxo,Dispuxemos,Dispuxestes,Dispuxeron
Trouxen,Trouxeches,Trouxo,Trouxemos,Trouxestes,Trouxeron
Respondín,Respondiches,Respondeu,Respondemos,Respondestes,Responderon
Participei,Participaches,Participou,Participamos,Participastes,Participaron
Saquei,Sacaches,Sacou,Sacamos,Sacastes,Sacaron
Continuei,Continuaches,Continuou,Continuamos,Continuastes,Continuaron
Engadín,Engadiches,Engadiu,Engadimos,Engadistes,Engadiron
Publiquei,Publicaches,Publicou,Publicamos,Publicastes,Publicaron
Xoguei,Xogaches,Xogou,Xogamos,Xogastes,Xogaron
Cambiei,Cambiaches,Cambiou,Cambiamos,Cambiastes,Cambiaron
Evitei,Evitaches,Evitou,Evitamos,Evitastes,Evitaron
Axudei,Axudaches,Axudou,Axudamos,Axudastes,Axudaron
Amosei,Amosaches,Amosou,Amosamos,Amosastes,Amosaron
Esquecín,Esqueciches,Esqueceu,Esquecemos,Esquecestes,Esqueceron
Comín,Comiches,Comeu,Comemos,Comestes,Comeron
Tirei,Tiraches,Tirou,Tiramos,Tirastes,Tiraron
Subín,Subiches,Subiu,Subimos,Subistes,Subiron
Gañei,Gañaches,Gañou,Gañamos,Gañastes,Gañaron
Destaquei,Destacaches,Destacou,Destacamos,Destacastes,Destacaron
Toquei,Tocaches,Tocou,Tocamos,Tocastes,Tocaron
Movín,Moviches,Moveu,Movemos,Movestes,Moveron
Pretendín,Pretendiches,Pretendeu,Pretendemos,Pretendestes,Pretenderon
Corrín,Corriches,Correu,Corremos,Correstes,Correron
Fiquei,Ficaches,Ficou,Ficamos,Ficastes,Ficaron
Representei,Representaches,Representou,Representamos,Representastes,Representaron
Acompañei,Acompañaches,Acompañou,Acompañamos,Acompañastes,Acompañaron
Ocupei,Ocupaches,Ocupou,Ocupamos,Ocupastes,Ocuparon
Precisei,Precisaches,Precisou,Precisamos,Precisastes,Precisaron
Erguín,Erguiches,Ergueu,Erguemos,Erguestes,Ergueron
Semellei,Semellaches,Semellou,Semellamos,Semellastes,Semellaron
Ollei,Ollaches,Ollou,Ollamos,Ollastes,Ollaron
Defendín,Defendiches,Defendeu,Defendemos,Defendestes,Defenderon
Referín,Referiches,Referiu,Referimos,Referistes,Referiron
Informei,Informaches,Informou,Informamos,Informastes,Informaron
Recordei,Recordaches,Recordou,Recordamos,Recordastes,Recordaron
Pechei,Pechaches,Pechou,Pechamos,Pechastes,Pecharon
Establecín,Estableciches,Estableceu,Establecemos,Establecestes,Estableceron
Obtín,Obtiches,Obteu,Obtemos,Obtestes,Obteron
Descubrín,Descubriches,Descubriu,Descubrimos,Descubristes,Descubriron
Anunciei,Anunciaches,Anunciou,Anunciamos,Anunciastes,Anunciaron
Provoquei,Provocaches,Provocou,Provocamos,Provocastes,Provocaron
Sufrín,Sufriches,Sufriu,Sufrimos,Sufristes,Sufriron
Tentei,Tentaches,Tentou,Tentamos,Tentastes,Tentaron
Observei,Observaches,Observou,Observamos,Observastes,Observaron
Empreguei,Empregaches,Empregou,Empregamos,Empregastes,Empregaron
Dediquei,Dedicaches,Dedicou,Dedicamos,Dedicastes,Dedicaron
Ocorreu,Ocorreron
Intentei,Intentaches,Intentou,Intentamos,Intentastes,Intentaron
Matei,Mataches,Matou,Matamos,Matastes,Mataron
Mandei,Mandaches,Mandou,Mandamos,Mandastes,Mandaron
Encontrei,Encontraches,Encontrou,Encontramos,Encontrastes,Encontraron
Decatei,Decataches,Decatou,Decatamos,Decatastes,Decataron
Durmín,Durmiches,Durmiu,Durmimos,Durmistes,Durmiron
Acadei,Acadaches,Acadou,Acadamos,Acadastes,Acadaron
Mostrei,Mostraches,Mostrou,Mostramos,Mostrastes,Mostraron
Comprendín,Comprendiches,Comprendeu,Comprendemos,Comprendestes,Comprenderon
Preparei,Preparaches,Preparou,Preparamos,Preparastes,Prepararon
Logrei,Lograches,Logrou,Logramos,Lograstes,Lograron
Gardei,Gardaches,Gardou,Gardamos,Gardastes,Gardaron
Detín,Detiches,Deteu,Detemos,Detestes,Deteron
Necesitei,Necesitaches,Necesitou,Necesitamos,Necesitastes,Necesitaron
Apuntei,Apuntaches,Apuntou,Apuntamos,Apuntastes,Apuntaron
Faltei,Faltaches,Faltou,Faltamos,Faltastes,Faltaron
Aceptei,Aceptaches,Aceptou,Aceptamos,Aceptastes,Aceptaron
Aproveitei,Aproveitaches,Aproveitou,Aproveitamos,Aproveitastes,Aproveitaron
Afectei,Afectaches,Afectou,Afectamos,Afectastes,Afectaron
Constituín,Constituíches,Constituíu,Constituímos,Constituístes,Constituíron
Superei,Superaches,Superou,Superamos,Superastes,Superaron
Coidei,Coidaches,Coidou,Coidamos,Coidastes,Coidaron
Parei,Paraches,Parou,Paramos,Parastes,Pararon
