Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Marchara,Marcharas,Marchara,Marcharamos,Marcharades,Marcharan
Celebrara,Celebraras,Celebrara,Celebraramos,Celebrarades,Celebraran
Incluíra,Incluíras,Incluíra,Incluiramos,Incluirades,Incluíran
Desenvolvera,Desenvolveras,Desenvolvera,Desenvolveramos,Desenvolverades,Desenvolveran
Pagara,Pagaras,Pagara,Pagaramos,Pagarades,Pagaran
Baixara,Baixaras,Baixara,Baixaramos,Baixarades,Baixaran
Dispuxera,Dispuxeras,Dispuxera,Dispuxeramos,Dispuxerades,Dispuxeran
Trouxera,Trouxeras,Trouxera,Trouxeramos,Trouxerades,Trouxeran
Respondera,Responderas,Respondera,Responderamos,Responderades,Responderan
Participara,Participaras,Participara,Participaramos,Participarades,Participaran
Sacara,Sacaras,Sacara,Sacaramos,Sacarades,Sacaran
Continuara,Continuaras,Continuara,Continuaramos,Continuarades,Continuaran
Engadira,Engadiras,Engadira,Engadiramos,Engadirades,Engadiran
Publicara,Publicaras,Publicara,Publicaramos,Publicarades,Publicaran
Xogara,Xogaras,Xogara,Xogaramos,Xogarades,Xogaran
Cambiara,Cambiaras,Cambiara,Cambiaramos,Cambiarades,Cambiaran
Evitara,Evitaras,Evitara,Evitaramos,Evitarades,Evitaran
Axudara,Axudaras,Axudara,Axudaramos,Axudarades,Axudaran
Amosara,Amosaras,Amosara,Amosaramos,Amosarades,Amosaran
Esquecera,Esqueceras,Esquecera,Esqueceramos,Esquecerades,Esqueceran
Comera,Comeras,Comera,Comeramos,Comerades,Comeran
Tirara,Tiraras,Tirara,Tiraramos,Tirarades,Tiraran
Subira,Subiras,Subira,Subiramos,Subirades,Subiran
Gañara,Gañaras,Gañara,Gañaramos,Gañarades,Gañaran
Destacara,Destacaras,Destacara,Destacaramos,Destacarades,Destacaran
Tocara,Tocaras,Tocara,Tocaramos,Tocarades,Tocaran
Movera,Moveras,Movera,Moveramos,Moverades,Moveran
Pretendera,Pretenderas,Pretendera,Pretenderamos,Pretenderades,Pretenderan
Correra,Correras,Correra,Correramos,Correrades,Correran
Ficara,Ficaras,Ficara,Ficaramos,Ficarades,Ficaran
Representara,Representaras,Representara,Representaramos,Representarades,Representaran
Acompañara,Acompañaras,Acompañara,Acompañaramos,Acompañarades,Acompañaran
Ocupara,Ocuparas,Ocupara,Ocuparamos,Ocuparades,Ocuparan
Precisara,Precisaras,Precisara,Precisaramos,Precisarades,Precisaran
Erguera,Ergueras,Erguera,Ergueramos,Erguerades,Ergueran
Semellara,Semellaras,Semellara,Semellaramos,Semellarades,Semellaran
Ollara,Ollaras,Ollara,Ollaramos,Ollarades,Ollaran
Defendera,Defenderas,Defendera,Defenderamos,Defenderades,Defenderan
Referira,Referiras,Referira,Referiramos,Referirades,Referiran
Informara,Informaras,Informara,Informaramos,Informarades,Informaran
Recordara,Recordaras,Recordara,Recordaramos,Recordarades,Recordaran
Pechara,Pecharas,Pechara,Pecharamos,Pecharades,Pecharan
Establecera,Estableceras,Establecera,Estableceramos,Establecerades,Estableceran
Obtera,Obteras,Obtera,Obteramos,Obterades,Obteran
Descubrira,Descubriras,Descubrira,Descubriramos,Descubrirades,Descubriran
Anunciara,Anunciaras,Anunciara,Anunciaramos,Anunciarades,Anunciaran
Provocara,Provocaras,Provocara,Provocaramos,Provocarades,Provocaran
Sufrira,Sufriras,Sufrira,Sufriramos,Sufrirades,Sufriran
Tentara,Tentaras,Tentara,Tentaramos,Tentarades,Tentaran
Observara,Observaras,Observara,Observaramos,Observarades,Observaran
