Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Indicase,Indicases,Indicase,Indicásemos,Indicásedes,Indicasen
Utilizase,Utilizases,Utilizase,Utilizásemos,Utilizásedes,Utilizasen
Marchase,Marchases,Marchase,Marchásemos,Marchásedes,Marchasen
Celebrase,Celebrases,Celebrase,Celebrásemos,Celebrásedes,Celebrasen
Incluíse,Incluíses,Incluíse,Incluísemos,Incluísedes,Incluísen
Desenvolvese,Desenvolveses,Desenvolvese,Desenvolvésemos,Desenvolvésedes,Desenvolvesen
Pagase,Pagases,Pagase,Pagásemos,Pagásedes,Pagasen
Baixase,Baixases,Baixase,Baixásemos,Baixásedes,Baixasen
Dispuxese,Dispuxeses,Dispuxese,Dispuxésemos,Dispuxésedes,Dispuxesen
Trouxese,Trouxeses,Trouxese,Trouxésemos,Trouxésedes,Trouxesen
Respondese,Respondeses,Respondese,Respondésemos,Respondésedes,Respondesen
Participase,Participases,Participase,Participásemos,Participásedes,Participasen
Sacase,Sacases,Sacase,Sacásemos,Sacásedes,Sacasen
Continuase,Continuases,Continuase,Continuásemos,Continuásedes,Continuasen
Engadise,Engadises,Engadise,Engadísemos,Engadísedes,Engadisen
Publicase,Publicases,Publicase,Publicásemos,Publicásedes,Publicasen
Xogase,Xogases,Xogase,Xogásemos,Xogásedes,Xogasen
Cambiase,Cambiases,Cambiase,Cambiásemos,Cambiásedes,Cambiasen
Evitase,Evitases,Evitase,Evitásemos,Evitásedes,Evitasen
Axudase,Axudases,Axudase,Axudásemos,Axudásedes,Axudasen
Amosase,Amosases,Amosase,Amosásemos,Amosásedes,Amosasen
Esquecese,Esqueceses,Esquecese,Esquecésemos,Esquecésedes,Esquecesen
Comese,Comeses,Comese,Comésemos,Comésedes,Comesen
Tirase,Tirases,Tirase,Tirásemos,Tirásedes,Tirasen
Subise,Subises,Subise,Subísemos,Subísedes,Subisen
Gañase,Gañases,Gañase,Gañásemos,Gañásedes,Gañasen
Destacase,Destacases,Destacase,Destacásemos,Destacásedes,Destacasen
Tocase,Tocases,Tocase,Tocásemos,Tocásedes,Tocasen
Movese,Moveses,Movese,Movésemos,Movésedes,Movesen
Pretendese,Pretendeses,Pretendese,Pretendésemos,Pretendésedes,Pretendesen
Correse,Correses,Correse,Corrésemos,Corrésedes,Corresen
Ficase,Ficases,Ficase,Ficásemos,Ficásedes,Ficasen
Representase,Representases,Representase,Representásemos,Representásedes,Representasen
Acompañase,Acompañases,Acompañase,Acompañásemos,Acompañásedes,Acompañasen
Ocupase,Ocupases,Ocupase,Ocupásemos,Ocupásedes,Ocupasen
Precisase,Precisases,Precisase,Precisásemos,Precisásedes,Precisasen
Erguese,Ergueses,Erguese,Erguésemos,Erguésedes,Erguesen
Semellase,Semellases,Semellase,Semellásemos,Semellásedes,Semellasen
Ollase,Ollases,Ollase,Ollásemos,Ollásedes,Ollasen
Defendese,Defendeses,Defendese,Defendésemos,Defendésedes,Defendesen
Referise,Referises,Referise,Referísemos,Referísedes,Referisen
Informase,Informases,Informase,Informásemos,Informásedes,Informasen
Recordase,Recordases,Recordase,Recordásemos,Recordásedes,Recordasen
Pechase,Pechases,Pechase,Pechásemos,Pechásedes,Pechasen
Establecese,Estableceses,Establecese,Establecésemos,Establecésedes,Establecesen
Obtese,Obteses,Obtese,Obtésemos,Obtésedes,Obtesen
Descubrise,Descubrises,Descubrise,Descubrísemos,Descubrísedes,Descubrisen
Anunciase,Anunciases,Anunciase,Anunciásemos,Anunciásedes,Anunciasen
Provocase,Provocases,Provocase,Provocásemos,Provocásedes,Provocasen
Sufrise,Sufrises,Sufrise,Sufrísemos,Sufrísedes,Sufrisen
Tentase,Tentases,Tentase,Tentásemos,Tentásedes,Tentasen
Observase,Observases,Observase,Observásemos,Observásedes,Observasen
Empregase,Empregases,Empregase,Empregásemos,Empregásedes,Empregasen
Dedicase,Dedicases,Dedicase,Dedicásemos,Dedicásedes,Dedicasen
Ocorrese,Ocorresen
Intentase,Intentases,Intentase,Intentásemos,Intentásedes,Intentasen
Matase,Matases,Matase,Matásemos,Matásedes,Matasen
Mandase,Mandases,Mandase,Mandásemos,Mandásedes,Mandasen
Encontrase,Encontrases,Encontrase,Encontrásemos,Encontrásedes,Encontrasen
Decatase,Decatases,Decatase,Decatásemos,Decatásedes,Decatasen
Durmise,Durmises,Durmise,Durmísemos,Durmísedes,Durmisen
Acadase,Acadases,Acadase,Acadásemos,Acadásedes,Acadasen
Mostrase,Mostrases,Mostrase,Mostrásemos,Mostrásedes,Mostrasen
Comprendese,Comprendeses,Comprendese,Comprendésemos,Comprendésedes,Comprendesen
Preparase,Preparases,Preparase,Preparásemos,Preparásedes,Preparasen
Lograse,Lograses,Lograse,Lográsemos,Lográsedes,Lograsen
